root_paper_id,ref_id,ref_title,published,ref_authors,in_text_citation_count,title_similarity,author_overlap,abstract_and_reference_title_similarity ,standalone,first_quarter,second_quarter,third_quarter,fourth_quarter,reference_relevance
2,b0,The Market for 'Lemons': Quality Uncertainty and the Market Mechanism,1970,['G Akerlof'],1,0.1728395061728395,0,0.25263813144434244,0,1,0,0,0,0
2,b2,Engineering Trust: Reciprocity in the Production of Reputation Information,2013,"['G Bolton', 'B Greiner', 'A Ockenfels']",1,0.3592814371257485,0,0.24875929755249726,0,0,1,0,0,0
2,b3,Dispute Resolution or Escalation? The Strategic Gaming of Feedback Withdrawal Options in Online Markets,2017,"['G Bolton', 'B Greiner', 'A Ockenfels']",1,0.35714285714285715,0,0.2925283627250281,0,0,1,0,0,0
2,b4,Hiring Preferences in Online Labor Markets: Evidence of a Female Hiring Bias,2017,"['J Chan', 'J Wang']",1,0.46153846153846156,0,0.24837629609739673,0,0,1,0,0,0
2,b5,The Sound of Silence in Online Feedback: Estimating Trading Risks in the Presence of Reporting Bias,2008,"['C Dellarocas', 'C Wood']",3,0.3020833333333333,0,0.3182139626298652,0,1,2,0,0,0
2,b6,Trust and Reputation in Markets,2017,"['A Diekmann', 'W Przepiorka']",3,0.41935483870967744,0,0.4004947435409863,0,1,1,0,2,0
2,b8,Building Theories from Case Study Research,1989,['K Eisenhardt'],1,0.16296296296296298,0,0.0,0,0,0,0,2,0
2,b9,Grand Challenges and Inductive Methods: Rigor without Rigor Mortis,2016,"['K Eisenhardt', 'M Graebner', 'S Sonenshein']",3,0.31446540880503143,0,0.12000600045003752,0,0,0,0,4,0
2,b10,"Engines of Anxiety: Academic Rankings, Reputation, and Accountability",2016,"['W Espeland', 'M Sauder']",1,0.32098765432098764,0,0.22866920203734487,0,0,0,0,2,0
2,b11,Reputation Inflation,2018,"['A Filippas', 'J Horton', 'J Golden']",4,0.3008849557522124,0,0.14071950894605836,0,1,1,0,4,0
